CCG or Health Board;;Abtard;Ebesque XL;Fencino;Venlalic XL;Zomorph;Grand Total
NORTH NORFOLK CCG;;22 133,83;53 135,43;36 880,20;20 817,03;9 626,14;142 592,63
NORTH SOMERSET CCG;;45 643,42;28 359,50;28 996,13;20 018,28;8 155,66;131 172,99
NORTH STAFFORDSHIRE CCG;;62 198,19;41 759,73;35 830,31;43 430,43;15 061,38;198 280,04
NORTH TYNESIDE CCG;;82 166,33;45 777,33;59 906,91;24 902,68;27 455,28;240 208,53
NORTH WEST SURREY CCG;;39 387,44;29 763,84;19 304,65;25 427,56;8 414,50;122 297,99
NORTH, EAST, WEST DEVON CCG;;105 151,40;121 503,84;71 428,37;90 183,61;36 401,37;424 668,59
NORTHUMBERLAND CCG;;93 413,56;29 207,35;51 598,34;22 734,37;61 179,76;258 133,38
NORWICH CCG;;27 384,86;43 657,37;12 362,49;12 673,75;3 406,93;99 485,40
NOTTINGHAM CITY CCG;;31 274,92;69 431,30;68 022,23;17 004,95;8 356,27;194 089,67
NOTTINGHAM NORTH & EAST CCG;;50 747,65;29 523,31;31 598,16;24 731,18;6 697,10;143 297,40
NOTTINGHAM WEST CCG;;11 904,80;6 018,06;10 063,53;8 089,82;3 761,71;39 837,92
OLDHAM CCG;;166 884,30;100 439,43;73 948,73;91 633,21;21 911,19;454 816,86
OXFORDSHIRE CCG;;86 016,45;34 122,34;41 265,90;26 730,66;35 034,37;223 169,72
PORTSMOUTH CCG;;22 923,73;54 755,28;33 980,81;25 822,73;12 602,80;150 085,35
POWYS TEACHING;;47 296,43;41 142,70;43 798,40;13 321,52;10 626,89;156 185,94
REDBRIDGE CCG;;44 396,76;39 658,08;34 597,52;27 386,11;7 802,20;153 840,67
REDDITCH AND BROMSGROVE CCG;;23 744,54;17 477,00;14 755,00;7 880,22;4 428,96;68 285,72
RICHMOND CCG;;25 508,53;41 528,68;19 590,00;13 909,00;4 312,82;104 849,03
ROTHERHAM CCG;;61 796,42;47 200,55;45 922,41;31 682,72;6 048,60;192 650,70
RUSHCLIFFE CCG;;28 805,31;15 172,82;10 549,68;17 760,43;3 365,99;75 654,23
SALFORD CCG;;166 904,50;52 212,03;23 295,90;16 555,73;21 019,06;279 987,22
SANDWELL AND WEST BIRMINGHAM CCG;;78 729,17;138 571,72;52 393,76;38 621,81;26 644,79;334 961,25
SCARBOROUGH AND RYEDALE CCG;;16 731,48;7 353,88;16 270,61;6 348,00;2 666,74;49 370,71
SE STAFFS & SEISDON PENINSULAR CCG;;15 841,70;22 908,95;26 726,98;19 812,05;13 300,19;98 589,87
SHEFFIELD CCG;;136 611,44;29 893,50;96 819,22;60 378,93;23 188,66;346 891,75
SHROPSHIRE CCG;;67 485,90;34 748,69;62 792,90;49 489,47;21 937,16;236 454,12
SLOUGH CCG;;20 146,82;24 645,19;12 307,70;14 576,73;1 462,40;73 138,84
SOLIHULL CCG;;56 789,44;33 338,12;30 307,52;18 244,23;10 291,81;148 971,12
SOMERSET CCG;;72 861,18;53 681,21;59 250,18;39 743,38;11 835,39;237 371,34
SOUTH CHESHIRE CCG;;11 663,65;4 009,41;14 835,71;14 498,82;12 304,77;57 312,36
SOUTH DEVON AND TORBAY CCG;;72 168,32;114 094,67;70 708,18;55 709,63;23 334,23;336 015,03
SOUTH EASTERN HAMPSHIRE CCG;;18 467,89;20 613,91;29 428,00;18 963,61;7 421,21;94 894,62
SOUTH GLOUCESTERSHIRE CCG;;36 744,39;13 052,43;26 839,33;7 250,99;16 268,31;100 155,45
SOUTH KENT COAST CCG;;41 861,18;77 450,47;20 747,99;16 140,35;13 926,71;170 126,70
SOUTH LINCOLNSHIRE CCG;;24 152,59;32 869,58;77 206,85;122 143,02;22 029,98;278 402,02
SOUTH MANCHESTER CCG;;89 373,81;30 958,03;46 414,99;14 289,30;1 942,01;182 978,14
SOUTH NORFOLK CCG;;44 474,99;59 882,24;47 544,07;48 205,76;13 072,89;213 179,95
SOUTH READING CCG;;6 735,58;6 497,08;2 196,89;4 379,65;1 277,53;21 086,73
SOUTH SEFTON CCG;;108 860,85;65 774,41;34 457,47;31 290,20;27 132,55;267 515,48
SOUTH TEES CCG;;200 629,13;81 085,17;122 333,33;46 854,15;75 792,23;526 694,01
SOUTH TYNESIDE CCG;;143 725,11;37 584,98;46 126,36;17 668,49;16 064,30;261 169,24
SOUTH WARWICKSHIRE CCG;;28 740,78;53 953,10;33 152,07;51 789,78;24 151,45;191 787,18
SOUTH WEST LINCOLNSHIRE CCG;;30 470,29;20 694,70;51 439,98;22 155,73;6 969,01;131 729,71
SOUTH WORCESTERSHIRE CCG;;78 686,41;34 773,06;42 698,20;25 670,13;8 476,39;190 304,19
SOUTHAMPTON CCG;;44 103,12;30 663,65;37 638,39;19 590,91;13 102,39;145 098,46
SOUTHEND CCG;;35 547,41;42 322,77;24 117,93;11 605,15;8 709,46;122 302,72
SOUTHERN DERBYSHIRE CCG;;54 116,30;79 254,54;44 735,91;41 621,73;16 003,09;235 731,57
SOUTHPORT AND FORMBY CCG;;66 439,29;23 928,82;48 765,83;16 602,99;19 923,46;175 660,39
SOUTHWARK CCG;;33 228,39;44 634,67;23 873,85;39 612,80;7 811,06;149 160,77
ST HELENS CCG;;21 926,44;14 414,68;20 768,38;15 856,17;9 085,02;82 050,69
STAFFORD AND SURROUNDS CCG;;34 376,00;13 288,49;14 707,37;15 182,25;7 141,53;84 695,64
STOCKPORT CCG;;140 571,55;73 730,39;31 764,51;47 814,20;20 806,68;314 687,33
STOKE ON TRENT CCG;;74 632,29;65 394,97;26 371,27;39 452,71;14 342,69;220 193,93
SUNDERLAND CCG;;162 667,13;86 442,49;59 225,86;31 845,33;29 411,97;369 592,78
SURREY DOWNS CCG;;49 072,40;46 307,53;21 338,57;40 443,01;9 590,08;166 751,59
SURREY HEATH CCG;;28 194,27;19 562,34;12 143,73;12 793,51;6 947,78;79 641,63
SUTTON CCG;;34 246,81;33 928,24;29 244,65;17 007,12;3 422,64;117 849,46
SWALE CCG;;44 938,33;35 461,04;5 187,66;8 118,57;3 551,56;97 257,16
SWINDON CCG;;54 012,63;27 054,92;29 228,40;20 121,12;8 265,89;138 682,96
TAMESIDE AND GLOSSOP CCG;;99 728,13;40 733,79;35 029,73;44 681,12;56 493,60;276 666,37
TELFORD & WREKIN CCG;;78 957,17;50 039,50;44 054,90;48 786,92;25 498,89;247 337,38
THANET CCG;;26 153,03;54 188,31;19 580,46;15 348,64;7 759,64;123 030,08
THURROCK CCG;;29 180,11;23 254,34;10 144,95;10 938,67;8 185,25;81 703,32
TOWER HAMLETS CCG;;32 411,35;45 268,89;18 818,53;9 247,83;6 789,48;112 536,08
TRAFFORD CCG;;145 903,66;30 214,76;80 660,34;37 049,72;7 621,23;301 449,71
VALE OF YORK CCG;;72 600,62;51 350,35;35 020,23;25 404,58;9 457,94;193 833,72
VALE ROYAL CCG;;9 940,03;4 862,92;7 081,06;6 283,95;6 862,53;35 030,49
WAKEFIELD CCG;;61 996,85;51 556,88;45 130,74;21 345,45;14 642,62;194 672,54
WALSALL CCG;;75 431,55;30 870,00;40 928,47;22 667,13;8 638,26;178 535,41
WALTHAM FOREST CCG;;52 061,83;92 076,35;14 163,21;28 152,15;6 418,50;192 872,04
WANDSWORTH CCG;;30 813,71;59 146,55;37 884,69;34 003,45;5 606,70;167 455,10
WARRINGTON CCG;;37 510,12;73 098,86;16 846,45;16 949,73;12 398,37;156 803,53
WARWICKSHIRE NORTH CCG;;25 293,34;66 342,79;17 493,01;31 064,17;10 296,15;150 489,46
WEST CHESHIRE CCG;;48 222,23;32 434,91;31 340,45;41 589,65;5 816,05;159 403,29
WEST ESSEX CCG;;26 617,79;45 774,10;32 409,10;36 099,36;8 803,33;149 703,68
WEST HAMPSHIRE CCG;;134 648,30;73 966,42;117 612,59;76 054,70;19 220,15;421 502,16
WEST KENT CCG;;244 751,92;284 745,18;110 281,75;25 055,27;9 756,55;674 590,67
WEST LANCASHIRE CCG;;35 791,35;11 521,20;35 618,63;7 950,45;19 935,08;110 816,71
WEST LEICESTERSHIRE CCG;;77 039,08;26 702,37;74 627,20;34 308,51;7 407,35;220 084,51
WEST LONDON (K&C & QPP) CCG;;24 271,68;39 811,73;15 182,11;11 807,56;3 388,48;94 461,56
WEST NORFOLK CCG;;44 430,66;47 053,37;31 922,92;34 890,59;9 949,18;168 246,72
WEST SUFFOLK CCG;;64 726,07;91 113,68;43 110,18;69 203,98;20 568,11;288 722,02
WIGAN BOROUGH CCG;;141 658,11;140 997,72;161 843,95;27 275,46;26 047,17;497 822,41
WILTSHIRE CCG;;23 309,81;20 899,03;29 610,98;57 151,39;10 825,90;141 797,11
WINDSOR, ASCOT AND MAIDENHEAD CCG;;14 438,64;24 823,24;7 635,95;12 302,57;1 901,62;61 102,02
WIRRAL CCG;;34 372,24;10 278,62;13 227,73;21 540,70;10 177,50;89 596,79
WOKINGHAM CCG;;7 007,24;11 047,33;11 168,69;11 912,24;2 896,48;44 031,98
WOLVERHAMPTON CCG;;78 366,24;60 731,63;42 145,55;21 924,18;5 422,07;208 589,67
WYRE FOREST CCG;;36 831,02;33 223,19;12 003,59;6 009,66;5 809,67;93 877,13
